ID,Complexidade,Desempenho,Acuracia,Similaridade,Especificidade,Proporção espacial x,Proporção espacial y
df_ID_14,1,0.6124628165344749,0.375,0.7123884496034246,0.75,0.9826923076923076,0.75071907957814
df_ID_14,2,0.7025770042037038,0.375,0.7327310126111117,1.0,0.9576923076923077,0.9520613614573347
df_ID_14,1,0.6803950167079217,0.375,0.666185050123765,1.0,0.9903846153846154,0.887823585810163
df_ID_14,3,0.5683344665129463,0.3125,0.7925033995388387,0.6,0.8884615384615384,0.7603068072866731
df_ID_20,3,0.5934030193717151,0.625,0.7266376295437166,0.4285714285714286,0.8865384615384615,0.4218600191754554
df_ID_20,1,0.4748438635907359,0.6875,0.7370315907722076,0.0,0.9692307692307692,0.9913710450623202
df_ID_20,2,0.5345732910878874,0.75,0.8537198732636624,0.0,0.9576923076923077,0.947267497603068
df_ID_20,3,0.5123420384552326,0.75,0.787026115365698,0.0,0.9403846153846154,0.9721955896452541
df_ID_20,2,0.627367047288256,0.8125,0.8196011418647681,0.25,0.9442307692307692,0.9674017257909875
df_ID_20,1,0.557829949998781,0.6875,0.7359898499963431,0.25,0.925,0.9664429530201343
df_ID_20,2,0.629299625095895,0.8125,0.7420655419543516,0.33333333333333337,0.9346153846153846,0.9779482262703739
df_ID_20,1,0.8233607666076986,0.75,0.7200822998230956,1.0,0.9576923076923077,0.9789069990412272
df_ID_20,3,0.41170455606897355,0.4375,0.7976136682069206,0.0,0.95,0.9769894534995206
df_ID_20,3,0.7797421779048225,0.6875,0.6517265337144674,1.0,0.8865384615384615,0.4218600191754554
df_ID_20,1,0.7538153167400573,0.5625,0.6989459502201723,1.0,0.9692307692307692,0.9913710450623202
df_ID_20,2,0.5454041935374258,0.3125,0.8237125806122771,0.5,0.9576923076923077,0.947267497603068
df_ID_20,3,0.7437142014051569,0.5,0.731142604215471,1.0,0.9403846153846154,0.9721955896452541
df_ID_20,2,0.6333525338486768,0.375,0.7750576015460307,0.75,0.9442307692307692,0.9674017257909875
df_ID_20,1,0.6935465843630925,0.375,0.7056397530892774,1.0,0.925,0.9664429530201343
df_ID_20,2,0.7651772454089589,0.5625,0.7330317362268767,1.0,0.9346153846153846,0.9779482262703739
df_ID_20,1,0.7340704189746347,0.5,0.7022112569239042,1.0,0.9576923076923077,0.9789069990412272
df_ID_20,3,0.5633069723710248,0.3125,0.7774209171130745,0.6,0.95,0.9769894534995206
df_ID_22,3,0.743409676200105,0.75,0.7659433143146005,0.7142857142857143,1.2826923076923078,1.6999041227229146
df_ID_22,1,0.43533324998263306,0.5625,0.7434997499478994,0.0,0.9307692307692308,0.8772770853307766
df_ID_22,2,0.5163036810976883,0.6875,0.8614110432930648,0.0,0.9346153846153846,0.9137104506232023
df_ID_22,3,0.5201036372260975,0.75,0.8103109116782926,0.0,0.9730769230769231,0.9894534995206136
df_ID_22,2,0.706466961642945,0.75,0.869400884928835,0.5,0.9653846153846154,0.9932885906040269
df_ID_22,1,0.5565173859015534,0.625,0.7945521577046603,0.25,0.8480769230769231,0.840843720038351
df_ID_22,2,0.762070243874323,0.875,0.744544064956302,0.6666666666666667,0.825,0.7794822627037392
df_ID_22,1,0.8233607666076986,0.75,0.7200822998230956,1.0,0.8288461538461539,0.8331735378715245
df_ID_22,3,0.4317694514749882,0.4375,0.8578083544249646,0.0,0.6903846153846154,0.8341323106423778
df_ID_22,3,0.7706600286782482,0.625,0.6869800860347448,1.0,1.2826923076923078,1.6999041227229146
df_ID_22,1,0.7529169335842111,0.5625,0.6962508007526331,1.0,0.9307692307692308,0.8772770853307766
df_ID_22,2,0.540223611269424,0.3125,0.8081708338082719,0.5,0.9346153846153846,0.9137104506232023
df_ID_22,3,0.7452665211593299,0.5,0.7357995634779898,1.0,0.9730769230769231,0.9894534995206136
df_ID_22,2,0.6532082831772272,0.375,0.8346248495316817,0.75,0.9653846153846154,0.9932885906040269
df_ID_22,1,0.5658149861490589,0.4375,0.7599449584471767,0.5,0.8480769230769231,0.840843720038351
df_ID_22,2,0.7425133594220409,0.5,0.7275400782661229,1.0,0.825,0.7794822627037392
df_ID_22,1,0.7340704189746347,0.5,0.7022112569239042,1.0,0.8288461538461539,0.8331735378715245
df_ID_22,3,0.5936022098701854,0.375,0.8058066296105564,0.6,0.6903846153846154,0.8341323106423778
df_ID_30,3,0.5512393564271034,0.6875,0.6805037835670246,0.2857142857142857,0.9288461538461539,0.9367209971236817
df_ID_30,1,0.6682328878104681,0.75,0.7546986634314043,0.5,0.9192307692307692,0.9367209971236817
df_ID_30,2,0.7334880100640154,0.8125,0.8879640301920464,0.5,0.926923076923077,0.9348034515819751
df_ID_30,3,0.5201036372260975,0.75,0.8103109116782926,0.0,0.9173076923076923,0.9424736337488016
df_ID_30,2,0.9622629675424705,1.0,0.8867889026274117,1.0,0.926923076923077,0.9319271332694151
df_ID_30,1,0.5731340602247079,0.6875,0.7819021806741236,0.25,0.9288461538461539,0.9415148609779482
df_ID_30,2,0.4983329087366479,0.8125,0.6824987262099435,0.0,0.926923076923077,0.9386385426653883
df_ID_30,1,0.7940097359768634,0.6875,0.6945292079305901,1.0,0.9038461538461539,0.9434324065196549
df_ID_30,3,0.4688164908565741,0.5625,0.8439494725697222,0.0,0.9442307692307692,0.9434324065196549
df_ID_30,3,0.7838020434364307,0.6875,0.6639061303092924,1.0,0.9288461538461539,0.9367209971236817
df_ID_30,1,0.7585757591053479,0.5625,0.7132272773160439,1.0,0.9192307692307692,0.9367209971236817
df_ID_30,2,0.5397007377741557,0.25,0.8691022133224672,0.5,0.926923076923077,0.9348034515819751
df_ID_30,3,0.7452665211593299,0.5,0.7357995634779898,1.0,0.9173076923076923,0.9424736337488016
df_ID_30,2,0.7602729527936566,0.4375,0.84331885838097,1.0,0.926923076923077,0.9319271332694151
df_ID_30,1,0.5554308419999772,0.4375,0.7287925259999315,0.5,0.9288461538461539,0.9415148609779482
df_ID_30,2,0.7477006695668554,0.5625,0.6806020087005665,1.0,0.926923076923077,0.9386385426653883
df_ID_30,1,0.5942582674818309,0.125,0.6577748024454927,1.0,0.9038461538461539,0.9434324065196549
df_ID_30,3,0.5657910031632806,0.3125,0.7848730094898416,0.6,0.9442307692307692,0.9434324065196549
df_ID_35,3,0.4996508812341635,0.5625,0.6507383579882047,0.2857142857142857,0.8057692307692308,0.7861936720997124
df_ID_35,1,0.5824326232828528,0.75,0.7472978698485586,0.25,0.7711538461538462,0.8475551294343241
df_ID_35,2,0.8865084002727617,0.8125,0.847025200818285,1.0,0.8038461538461539,0.8044103547459253
df_ID_35,3,0.7669494093493413,0.5,0.8008482280480237,1.0,0.9019230769230769,0.8763183125599233
df_ID_35,2,0.746451964593119,0.875,0.8643558937793571,0.5,0.7173076923076923,0.9022051773729626
df_ID_35,1,0.6391014936341824,0.375,0.7923044809025472,0.75,0.9019230769230769,0.9290508149568553
df_ID_35,2,0.6748248480282047,0.5625,0.7953078774179475,0.6666666666666667,0.8346153846153846,0.8619367209971237
df_ID_35,1,0.9080388019654827,1.0,0.7241164058964481,1.0,0.8653846153846154,0.8686481303930969
df_ID_35,3,0.859880529283573,0.9375,0.8421415878507189,0.8,0.8384615384615385,0.8600191754554171
df_ID_35,3,0.8001749340435582,0.8125,0.5880248021306745,1.0,0.8057692307692308,0.7861936720997124
df_ID_35,1,0.523891063737339,0.375,0.6966731912120169,0.5,0.7711538461538462,0.8475551294343241
df_ID_35,2,0.6832938943526153,0.25,0.7998816830578459,1.0,0.8038461538461539,0.8044103547459253
df_ID_35,3,0.7076062241479785,0.6666666666666666,0.7894853391106018,0.6666666666666667,0.9019230769230769,0.8763183125599233
df_ID_35,2,0.638523138347365,0.375,0.7905694150420949,0.75,0.7173076923076923,0.9022051773729626
df_ID_35,1,0.507529185916974,0.75,0.7725875577509221,0.0,0.9019230769230769,0.9290508149568553
df_ID_35,2,0.794688638187344,0.64,0.7440659145620316,1.0,0.8346153846153846,0.8619367209971237
df_ID_35,1,0.6459701952005419,0.25,0.6879105856016257,1.0,0.8653846153846154,0.8686481303930969
df_ID_35,3,0.6531158524373147,0.375,0.784347557311944,0.8,0.8384615384615385,0.8600191754554171
