,Número da Trajetória,Sorteio,Tempo 1,Tempo 2,ID,Fase,Score total,Score Parcial,Proporção espacial x,Proporção espacial y,Trajetória Completa,Trajetória Simplificada,Acuracia,Media Acuracia,Taxa de Falsos Positivos,Media FPR,Similaridade,Media Similaridade,Desempenho,Desempenho ponderado com proporção,Complexidade,nivel
69,7,9,737436.4090812848,737436.4093706366,df_ID_11,Fase Execucao,0.2037037037037037,0.1946157977617709,0.9788461538461538,0.9319271332694151,"[2, 2, 2, 3, 3, 3, 1, 1, 4, 2, 1, 1, 4, 4]","[2, 3, 1, 4, 2, 1, 4]",0.375,0.5910493827160495,0.0,0.34351851851851856,0.8210526315789474,0.8365084814484115,0.7320175438596491,0.6993597842534834,8,Difícil
70,8,10,737436.4101025347,737436.4103918981,df_ID_11,Fase Execucao,0.4074074074074074,0.29091064292406577,0.8384615384615385,0.5896452540747843,"[2, 2, 2, 3, 3, 3, 1, 4, 4, 1, 3, 3, 1, 4, 4, 4, 4]","[2, 3, 1, 4, 1, 3, 1, 4]",0.25,0.5910493827160495,0.0,0.34351851851851856,0.927030984857813,0.8365084814484115,0.7256769949526043,0.5181721228395806,8,Difícil
71,9,12,737436.4111849768,737436.4114743287,df_ID_11,Fase Execucao,0.2777777777777778,0.24326938441871326,0.9519230769230769,0.7996164908916586,"[2, 3, 2, 2, 3, 3, 1, 1, 4, 2, 1, 1, 4, 4]","[2, 3, 2, 3, 1, 4, 2, 1, 4]",0.375,0.5910493827160495,0.2,0.34351851851851856,0.8651809126974002,0.8365084814484115,0.6800603042324668,0.5955762656816461,8,Difícil
72,1,6,737439.8298656713,737439.831003669,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
73,2,3,737439.8315125463,737439.832425382,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
74,3,16,737439.8329266551,737439.8343182408,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
75,4,11,737439.8348195023,737439.8359774884,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
76,5,7,737439.8364787037,737439.8378096643,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
77,6,17,737439.8383109143,737439.83915875,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
78,7,14,737439.8396600116,737439.840425139,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
79,8,8,737439.8409263657,737439.8423502778,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
80,9,5,737439.842851493,737439.8434563541,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
81,1,15,737439.8439575926,737439.8456800579,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
82,2,1,737439.8461812848,737439.8482866667,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
83,3,2,737439.8487878704,737439.8497129745,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
84,4,4,737439.8502141782,737439.8515640857,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
85,5,18,737439.8520652894,737439.8527771875,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
86,6,13,737439.8532783912,737439.8543667245,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
87,7,9,737439.854867963,737439.8559148611,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
88,8,10,737439.8564160648,737439.857443044,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
89,9,12,737439.8579442477,737439.8588607176,df_ID_14,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
