Desempenho,Acuracia,Acuracia,Similaridade,Similaridade,Especificidade,Proporção espacial x,Proporção espacial y,Desempenho_ponderado,Complexidade,Complexidade,grupo
0.6261701726862824,0.875,0.6944444444444444,0.6701771847255139,0.8100478882366771,0.3333333333333333,0.8923076923076924,0.9194630872483222,0.567238410951275,6,CF_MÃ©dio,CF
0.8128438052134682,0.75,0.6944444444444444,0.7885314156404046,0.8100478882366771,0.9,1.0076923076923077,0.9980824544582934,0.8151907950338169,6,CF_MÃ©dio,CF
0.4703851430507793,0.5,0.6944444444444444,0.911155429152338,0.8100478882366771,0.0,0.85,0.8801534036433365,0.4069192281362818,8,CF_DifÃ­cil,CF
0.5314858431944031,0.75,0.6944444444444444,0.8444575295832093,0.8100478882366771,0.0,0.903846153846154,0.8533077660594439,0.4669512163716885,8,CF_DifÃ­cil,CF
0.6648724223121572,0.875,0.6944444444444444,0.7862839336031381,0.8100478882366771,0.3333333333333333,1.0134615384615384,0.9683604985618408,0.6588294091736738,8,CF_DifÃ­cil,CF
0.6451363699593685,0.75,0.7042233560090703,0.7854091098781056,0.7917396342274605,0.4,0.7057692307692308,0.6097794822627037,0.4243541606150706,4,CF_FÃ¡cil,CF
0.4600796829519714,0.5625,0.7042233560090703,0.6748819059987713,0.7917396342274605,0.1428571428571429,0.8134615384615385,0.8571428571428571,0.38430557033392,4,CF_FÃ¡cil,CF
0.4640647368109619,0.625,0.7042233560090703,0.7671942104328858,0.7917396342274605,0.0,0.8384615384615385,0.716203259827421,0.3607325552236166,4,CF_FÃ¡cil,CF
0.8104701424375594,0.7755102040816326,0.7042233560090703,0.827328794659617,0.7917396342274605,0.8285714285714285,0.8461538461538461,0.8533077660594439,0.6886814474588349,6,CF_MÃ©dio,CF
0.5199851944803562,0.8125,0.7042233560090703,0.7474555834410685,0.7917396342274605,0.0,0.8346153846153846,0.9041227229146692,0.4520590364972107,6,CF_MÃ©dio,CF
0.822996737099337,0.6875,0.7042233560090703,0.781490211298011,0.7917396342274605,1.0,0.8788461538461538,0.9616490891658676,0.7573607898228725,6,CF_MÃ©dio,CF
0.4703851430507793,0.5,0.7042233560090703,0.911155429152338,0.7917396342274605,0.0,0.8961538461538462,0.8053691275167785,0.4001855636871221,8,CF_DifÃ­cil,CF
0.5314858431944031,0.75,0.7042233560090703,0.8444575295832093,0.7917396342274605,0.0,0.9403846153846154,0.8456375838926175,0.4746227572733911,8,CF_DifÃ­cil,CF
0.6648724223121572,0.875,0.7042233560090703,0.7862839336031381,0.7917396342274605,0.3333333333333333,0.9634615384615384,0.7660594439117929,0.5749554024951293,8,CF_DifÃ­cil,CF
0.6391419222978835,0.75,0.6805555555555556,0.7674257668936506,0.7906001585316729,0.4,0.8192307692307692,0.7766059443911792,0.5099830724089346,4,CF_FÃ¡cil,CF
0.3545708952116432,0.4375,0.6805555555555556,0.6262126856349297,0.7906001585316729,0.0,0.8384615384615385,0.6279961649089166,0.2599816103370363,4,CF_FÃ¡cil,CF
0.5722426609655904,0.6875,0.6805555555555556,0.8292279828967711,0.7906001585316729,0.1999999999999999,0.8384615384615385,0.6845637583892618,0.4357700242939051,4,CF_FÃ¡cil,CF
