Desempenho,Acuracia,Similaridade,Especificidade,Proporção espacial x,Proporção espacial y,Complexidade,grupo
0.8170381537492103,0.8333333333333334,0.791694171392558,0.8260869565217391,0.7807692307692308,0.8475551294343241,8,CF
0.48966340376600365,0.6875,0.781490211298011,0.0,0.7230769230769231,0.7833173537871524,4,CF
0.4627740374501374,0.4375,0.6651078266361264,0.2857142857142857,0.8173076923076923,0.8600191754554171,4,CF
0.7714781694372533,0.6,0.7144345083117603,1.0,0.9461538461538461,0.6931927133269415,4,CF
0.9215501190053795,0.8333333333333334,0.9313170236828051,1.0,0.8884615384615384,0.775647171620326,6,CF
0.8160326254627887,0.8571428571428571,0.7576216859121756,0.8333333333333334,0.9403846153846154,0.8044103547459253,6,CF
0.822996737099337,0.6875,0.781490211298011,1.0,0.7903846153846154,0.7948226270373921,6,CF
0.47038514305077933,0.5,0.9111554291523379,0.0,0.8096153846153846,0.8302972195589645,8,CF
0.5248500222343492,0.75,0.8245500667030474,0.0,0.8653846153846154,0.8159156279961649,8,CF
0.8537475507330922,0.8571428571428571,0.842988683945308,0.8611111111111112,0.8423076923076923,0.8897411313518696,8,CF
0.574628995875627,0.5625,0.761386987626881,0.4,0.8538461538461538,0.8053691275167785,4,CF
0.6246233189901389,0.6111111111111112,0.6701662532667129,0.5925925925925926,0.8846153846153846,0.8245445829338447,4,CF
0.6366666666666666,0.75,0.76,0.4,0.8307692307692308,0.6347075743048898,4,CF
0.49982487739840203,0.625,0.8744746321952062,0.0,0.8711538461538462,0.7948226270373921,6,CF
0.9209440781520494,1.0,0.7628322344561482,1.0,0.926923076923077,0.87248322147651,6,CF
0.7864708292419472,0.625,0.7344124877258417,1.0,0.9442307692307692,0.8341323106423778,6,CF
0.48960898905832195,0.5625,0.9063269671749657,0.0,0.8596153846153847,0.8533077660594439,8,CF
0.5758021061297499,0.8125,0.9149063183892499,0.0,0.9173076923076923,0.8657718120805369,8,CF
0.790266106919462,0.84,0.7807983207583857,0.75,0.948076923076923,0.840843720038351,8,CF
0.7003696707777145,0.72,0.7382518694760007,0.6428571428571428,0.8692307692307693,0.3068072866730585,4,CF
0.49563207226672307,0.5625,0.7815390739430262,0.1428571428571429,0.7480769230769231,0.7718120805369127,4,CF
0.7384110700658685,0.875,0.7402332101976052,0.6,0.7403846153846154,0.588686481303931,4,CF
0.5029611588277282,0.625,0.8838834764831844,0.0,0.8423076923076923,0.6529242569511026,6,CF
0.8246008113209022,0.88,0.7604691006293736,0.8333333333333334,0.6596153846153846,0.713326941514861,6,CF
0.8854745413128672,0.875,0.7814236239386015,1.0,0.7288461538461538,0.8092042186001918,6,CF
0.7156019502484638,0.8125,0.8343058507453917,0.5,0.75,0.7181208053691275,8,CF
0.6161187075974287,0.56,0.7883561227922861,0.5,0.7980769230769231,0.7622243528283796,8,CF
0.8021974704874301,0.7755102040816326,0.825526651825102,0.8055555555555556,0.8346153846153846,0.48705656759348037,8,CF
0.6324697728945532,0.75,0.7474093186836597,0.4,0.7923076923076923,0.5292425695110259,4,CF
0.7105390303659013,0.76,0.6841170910977037,0.6875,0.7634615384615384,0.6922339405560882,4,CF
0.6185568962156982,0.6875,0.7681706886470947,0.4,0.7403846153846154,0.5100671140939598,4,CF
0.8148420726677239,0.7777777777777778,0.8485666220435755,0.8181818181818181,0.7576923076923077,0.6490891658676894,6,CF
0.8202102832510273,0.8571428571428571,0.7145991037213356,0.8888888888888888,0.6326923076923077,0.6212847555129435,6,CF
0.798419494237281,0.72,0.7863695938229543,0.8888888888888888,0.7365384615384616,0.7152444870565676,6,CF
0.4871835813759811,0.625,0.8365507441279434,0.0,0.7403846153846154,0.7334611697027804,8,CF
0.7580564820727272,0.6944444444444444,0.7702011922499276,0.8095238095238095,0.5884615384615385,0.8897411313518696,8,CF
0.8021292707650067,0.8055555555555556,0.8182235610872907,0.782608695652174,0.6865384615384615,0.638542665388303,8,CF
0.73083038975695,0.875,0.7174911692708499,0.6,0.7538461538461538,0.5023969319271333,4,CF
0.5030187277238493,0.625,0.7411990403144051,0.1428571428571429,0.8653846153846154,0.7497603068072867,4,CF
0.7527004356102834,0.76,0.7838155925451363,0.7142857142857143,0.7326923076923076,0.4458293384467881,4,CF
0.4761751345948129,0.5625,0.8660254037844387,0.0,0.8826923076923077,0.6615532118887824,6,CF
0.7109140581512942,0.6875,0.7785755077872157,0.6666666666666667,0.6423076923076924,0.6807286673058485,6,CF
0.8206795112654657,0.6875,0.7745385337963969,1.0,0.8807692307692307,0.7727708533077661,6,CF
0.47647381562100355,0.5625,0.8669214468630108,0.0,0.7769230769230769,0.738255033557047,8,CF
0.5993745068667149,0.52,0.8781235206001446,0.4,0.6346153846153846,0.763183125599233,8,CF
0.7700664628047879,0.8125,0.8310327217476967,0.6666666666666667,0.6884615384615385,0.7861936720997124,8,CF
0.7641791945872383,0.84,0.7382518694760007,0.7142857142857143,0.6615384615384615,0.8293384467881112,4,CF
0.4894608412133013,0.5625,0.7630253807827609,0.1428571428571429,0.9288461538461539,0.8149568552253116,4,CF
0.6327409154390791,0.75,0.7482227463172373,0.4,0.9019230769230769,0.8533077660594439,4,CF
0.5441591949679245,0.75,0.8824775849037737,0.0,0.9615384615384616,0.9424736337488016,6,CF
0.8222712209938754,0.92,0.7134803296482928,0.8333333333333334,0.9634615384615385,0.8398849472674976,6,CF
0.8340671995361567,0.6875,0.8147015986084701,1.0,0.9057692307692308,0.8063279002876318,6,CF
0.7982417201016544,0.7222222222222222,0.8543211199009229,0.8181818181818181,0.875,0.8034515819750719,8,CF
0.5555545592203196,0.8125,0.8541636776609587,0.0,0.8846153846153846,0.7497603068072867,8,CF
0.845872342155834,0.8333333333333334,0.8781967366124297,0.8260869565217391,0.8326923076923077,0.8101629913710451,8,CF
0.4431461192187453,0.5625,0.766938357656236,0.0,0.9576923076923077,0.9539789069990412,4,CF
0.6589472897691862,0.68,0.7343418693075583,0.5625,0.9326923076923077,0.6673058485139022,4,CF
0.5522934902398924,0.6875,0.7693804707196773,0.19999999999999996,0.9076923076923077,0.7622243528283796,4,CF
0.5602477140414864,0.8125,0.8682431421244593,0.0,0.9346153846153846,0.9348034515819751,6,CF
0.8160326254627887,0.8571428571428571,0.7576216859121756,0.8333333333333334,0.8096153846153846,0.8868648130393096,6,CF
0.7813300704326703,0.5625,0.781490211298011,1.0,0.9673076923076923,0.9290508149568553,6,CF
0.6895778778067786,0.56,0.8723699970566995,0.6363636363636364,0.8615384615384616,0.7603068072866731,8,CF
0.5555545592203196,0.8125,0.8541636776609587,0.0,0.8307692307692308,0.8360498561840843,8,CF
0.8013419711876125,0.8055555555555556,0.815861662355108,0.782608695652174,0.8288461538461539,0.9031639501438159,8,CF
0.4431461192187453,0.5625,0.766938357656236,0.0,0.8057692307692308,0.87248322147651,4,CF
0.44763155481515016,0.5625,0.6375375215883077,0.1428571428571429,0.9115384615384615,0.8964525407478428,4,CF
0.6528396151233045,0.8125,0.7460188453699135,0.4,0.9711538461538461,0.9242569511025887,4,CF
0.5389063522006402,0.75,0.8667190566019205,0.0,0.9346153846153846,0.7909875359539789,6,CF
0.9209440781520494,1.0,0.7628322344561482,1.0,0.9173076923076923,0.8811121764141898,6,CF
0.82739818259524,0.6875,0.7946945477857202,1.0,0.8942307692307693,0.8485139022051774,6,CF
