,Acuracia,Especificidade,Similaridade,grupo
57,0.6875,0.0,0.8475706863595912,CV
58,0.4375,0.0,0.8181344894563599,CV
59,0.5625,1.0,0.707549137677225,CV
60,0.5625,0.5,0.7272483483536187,CV
61,0.5625,0.0,0.8215269457798041,CV
62,0.875,0.6666666666666667,0.8514124886366488,CV
63,0.75,0.6,0.8321809452445668,CV
64,0.625,0.2857142857142857,0.8947540418023477,CV
65,0.6875,0.1999999999999999,0.7705935588815227,CV
66,0.6875,1.0,0.8206567882510716,CV
67,0.5625,0.0,0.8273792404018689,CV
68,0.6875,1.0,0.7972004375664863,CV
69,0.6875,0.0,0.8557668821131951,CV
70,0.75,0.0,0.8615234405868826,CV
71,0.75,0.6666666666666667,0.7826237921249264,CV
72,0.5,0.4,0.7839294959021853,CV
73,0.5625,0.4285714285714286,0.806110110439843,CV
74,0.4375,0.8,0.7673107732756071,CV
75,0.6875,0.0,0.8618916073713346,CV
76,0.875,0.6666666666666667,0.8372489242911723,CV
77,0.625,1.0,0.7344124877258417,CV
78,0.8125,0.5,0.9040534990682684,CV
79,0.625,0.5,0.8596023825918793,CV
80,0.5625,0.3333333333333333,0.6943650748294137,CV
81,0.8125,0.8,0.8401388774085707,CV
82,0.375,0.4285714285714286,0.8094272134003795,CV
83,1.0,1.0,1.0,CV
84,0.7346938775510204,0.8571428571428572,0.8012336167697753,CV
85,0.64,0.5833333333333333,0.7389617699928747,CV
86,0.8125,1.0,0.8817714069196474,CV
87,0.875,1.0,0.7744958299949138,CV
88,0.6111111111111112,0.6818181818181819,0.8656303011571023,CV
89,0.7222222222222222,0.6956521739130435,0.7240040180702163,CV
90,0.9375,1.0,0.8195375470622296,CV
91,0.4375,0.2857142857142857,0.801275141020233,CV
92,0.8775510204081632,0.8421052631578947,0.7464829817921257,CV
93,0.5,0.0,0.8461538461538461,CV
94,0.5,0.6666666666666667,0.817802054780503,CV
95,0.75,1.0,0.863398731268874,CV
96,0.6875,0.0,0.8541911928586355,CV
97,0.875,0.5,0.8324833246120438,CV
98,0.625,0.0,0.7839663096097782,CV
99,0.5,0.1999999999999999,0.8074061938731719,CV
100,0.5,0.1428571428571429,0.6557412294705282,CV
101,0.875,0.6,0.8401388774085707,CV
102,0.6875,0.0,0.8627959628145762,CV
103,0.625,0.0,0.8148823116916698,CV
104,0.625,1.0,0.8136375599905376,CV
105,0.625,0.0,0.8224338973607243,CV
106,0.6326530612244898,0.7142857142857143,0.8802268140732306,CV
107,0.75,0.6666666666666667,0.8490330634652238,CV
108,0.875,0.6,0.8528028654224417,CV
109,0.375,0.4285714285714286,0.7828813612588127,CV
110,0.8888888888888888,0.92,0.7982214819500759,CV
111,0.4375,0.0,0.8445920492704568,CV
112,0.8125,0.3333333333333333,0.7085252515814197,CV
113,0.8125,1.0,0.9259416862330891,CV
114,0.6875,1.0,0.9270525223779672,CV
115,0.5,0.5,0.8467779915851421,CV
116,0.84,0.6666666666666667,0.7560864148142504,CV
117,0.8125,0.8,0.847038658973673,CV
118,0.75,0.7142857142857143,0.7787549872351,CV
119,0.875,0.6,0.7502178332895193,CV
120,0.6,0.6363636363636364,0.8498365855987974,CV
121,0.5,0.3333333333333333,0.9110433579144298,CV
122,0.75,1.0,0.8668273689494929,CV
123,0.72,0.8181818181818181,0.8029410984014527,CV
124,0.875,0.5,0.8253159635964455,CV
125,0.625,0.0,0.8090909090909091,CV
126,0.5,0.0,0.8044504477441833,CV
127,0.8125,0.7142857142857143,0.8632940710855079,CV
128,0.75,0.4,0.8401388774085707,CV
