,Acuracia,Especificidade,Similaridade,grupo
130,0.6875,0.6666666666666667,0.7785755077872157,CF
131,0.6875,1.0,0.7745385337963969,CF
132,0.5625,0.0,0.8669214468630108,CF
133,0.48,0.3636363636363636,0.7648146665807475,CF
134,0.8125,0.6666666666666667,0.8310327217476967,CF
189,0.875,0.6,0.6598301425317459,CF
190,0.5625,0.1428571428571429,0.7733602811121825,CF
191,0.88,0.7857142857142857,0.7318219594147815,CF
192,0.44,0.2727272727272727,0.7825267906836493,CF
193,1.0,1.0,0.7566729492138756,CF
194,0.64,0.7777777777777778,0.7766309483472004,CF
195,0.68,0.7272727272727273,0.8850130404923038,CF
196,0.75,0.0,0.8444575295832093,CF
197,0.875,0.6666666666666667,0.7775966104283237,CF
198,0.75,0.4,0.7216401200112957,CF
199,0.72,0.625,0.6585548803583164,CF
200,0.8125,0.4,0.7389088161147559,CF
201,0.6875,0.0,0.8347257041177223,CF
202,1.0,1.0,0.7934829772175864,CF
203,0.75,1.0,0.8038289678752113,CF
204,0.44,0.3636363636363636,0.8871254617317299,CF
205,0.75,0.0,0.8444575295832093,CF
206,0.8125,1.0,0.8272727272727273,CF
207,0.8125,0.4,0.7592566023652966,CF
208,0.5,0.0,0.7154909505123395,CF
209,0.75,0.1999999999999999,0.8130946324727105,CF
210,0.6875,0.0,0.8493846754698822,CF
211,1.0,1.0,0.7542610857543938,CF
212,0.625,1.0,0.7975567974723957,CF
213,0.5,0.0,0.8530145246502043,CF
214,0.875,0.0,0.823964271304997,CF
215,0.9375,1.0,0.8398412548412547,CF
243,0.5625,0.0,0.7675225788801975,SF
244,0.375,0.1428571428571429,0.8342976876265135,SF
245,0.625,0.1999999999999999,0.8509106375192863,SF
246,0.75,0.0,0.9081082718950216,SF
247,1.0,1.0,1.0,SF
248,0.6875,1.0,0.781490211298011,SF
249,0.5625,0.5,0.7610738529282056,SF
250,0.375,0.5,0.774707953872363,SF
251,0.8125,1.0,0.7714434522374274,SF
252,0.625,0.0,0.7550471202820085,SF
253,0.5,0.2857142857142857,0.7617500626155123,SF
254,0.75,0.4,0.8467691965873326,SF
255,0.6875,0.0,0.9081082718950216,SF
256,0.875,1.0,0.8215269457798041,SF
257,0.6875,1.0,0.781490211298011,SF
258,0.5,0.0,0.8204490514119283,SF
259,0.75,0.0,0.7854149590025222,SF
260,0.5625,0.6666666666666667,0.7756717518813396,SF
261,0.875,0.6,0.8473990242990481,SF
262,0.5,0.2857142857142857,0.7617500626155123,SF
263,0.875,0.8,0.8958572659547143,SF
264,0.625,1.0,0.9081082718950216,SF
265,0.9375,1.0,0.891566265060241,SF
266,0.625,1.0,0.8003213007268788,SF
267,0.5625,0.5,0.7610738529282056,SF
268,0.75,0.0,0.7854149590025222,SF
269,0.6875,0.6666666666666667,0.7559289460184545,SF
270,0.7551020408163265,0.7894736842105263,0.7610882466238301,SF
271,0.5625,0.8571428571428572,0.8160609224275623,SF
272,0.3125,0.0,0.8750205252108261,SF
273,0.6875,0.0,0.8744997503107149,SF
274,0.8125,0.3333333333333333,0.7247871795887415,SF
275,0.875,1.0,0.8341038682490691,SF
276,0.6875,0.5,0.8820336437750866,SF
277,0.625,0.5,0.8056594945107608,SF
278,0.875,1.0,0.8351822626018263,SF
279,0.6875,0.1999999999999999,0.7270938134338887,SF
280,0.84,0.8125,0.8404750732848711,SF
281,0.6875,0.1999999999999999,0.7115124735378854,SF
282,0.6875,0.0,0.7880716975969911,SF
283,0.8125,0.6666666666666667,0.8016690446381777,SF
284,0.8125,1.0,0.8675239039352518,SF
285,0.8125,0.0,0.8024338383274515,SF
286,0.52,0.4545454545454546,0.8041540158119213,SF
287,0.75,0.6666666666666667,0.7602631123499285,SF
288,0.75,0.1999999999999999,0.770904324972217,SF
289,0.84,0.8125,0.8404750732848711,SF
290,0.625,0.0,0.7761140001162655,SF
291,0.8125,0.0,0.8423195726346616,SF
292,0.8125,0.3333333333333333,0.7656957538972985,SF
293,0.875,1.0,0.915092448320264,SF
294,0.75,0.0,0.8738847831984206,SF
295,0.6875,0.5,0.8324833246120438,SF
296,0.8125,0.6666666666666667,0.737563556583431,SF
324,0.625,0.0,0.7848622630307973,SF
325,0.7346938775510204,0.75,0.6909515232341512,SF
326,0.8,0.7142857142857143,0.8173378965356997,SF
327,0.6875,0.0,0.8351059428674495,SF
328,0.5625,0.0,0.8054087338048787,SF
329,0.8125,1.0,0.7905025412240602,SF
330,0.75,0.0,0.7825080450574998,SF
331,0.75,0.0,0.7093732894137263,SF
332,0.8125,0.8823529411764706,0.790483943457971,SF
333,0.75,0.72,0.6871960215928373,SF
334,0.5,0.2857142857142857,0.8278327231656524,SF
335,0.8333333333333334,0.8,0.665815898586697,SF
336,0.7551020408163265,0.7714285714285715,0.7751332793988405,SF
337,0.6875,0.0,0.8622909085775465,SF
338,0.7222222222222222,0.75,0.90731374421328,SF
339,0.68,0.5454545454545454,0.797206844152099,SF
340,0.8125,0.5,0.7889320586105297,SF
341,0.7222222222222222,0.8260869565217391,0.7483314773547882,SF
342,0.6875,0.1999999999999999,0.7453559924999299,SF
343,0.5,0.2857142857142857,0.7617500626155123,SF
344,0.75,0.4,0.799502686333539,SF
345,0.68,0.6363636363636364,0.806225774829855,SF
346,0.875,0.3333333333333333,0.8470102754143884,SF
347,0.75,1.0,0.9361702127659576,SF
348,0.75,0.5,0.800002322553299,SF
349,0.8125,0.0,0.7857951393936532,SF
350,0.75,0.8260869565217391,0.8066323435772447,SF
351,0.76,0.7142857142857143,0.7746883537620438,SF
352,0.5625,0.1428571428571429,0.7141399863000529,SF
353,0.6875,0.4,0.7496176395367088,SF
354,0.76,0.7272727272727273,0.790968088499125,SF
355,0.6875,0.0,0.7645366459193415,SF
356,0.75,1.0,0.82126491089589,SF
357,0.6875,0.0,0.889108448948774,SF
358,0.8163265306122449,0.8857142857142857,0.8092806355680002,SF
359,0.8125,0.6666666666666667,0.737563556583431,SF
360,0.84,0.7857142857142857,0.8029516828294699,SF
361,0.5625,0.1428571428571429,0.7768997059248713,SF
362,0.72,0.5714285714285714,0.712474464815195,SF
363,0.75,0.0,0.793627015902405,SF
364,0.6875,0.0,0.864400806929332,SF
365,0.7222222222222222,0.75,0.9378116851952388,SF
366,0.8125,0.0,0.8258401390153339,SF
367,0.8163265306122449,0.8857142857142857,0.836555825377641,SF
368,0.75,0.6666666666666667,0.7602631123499285,SF
369,0.6875,0.4,0.734536091169637,SF
370,0.5625,0.0,0.6981280976033711,SF
371,0.8125,0.4,0.7844645405527362,SF
372,0.625,0.0,0.8849953577374196,SF
373,0.6875,0.0,0.7871603029325785,SF
374,0.75,0.8,0.9530360749391876,SF
