,Desempenho,grupo
246,0.5527027572983406,SF
247,1.0,SF
248,0.822996737099337,SF
249,0.6078579509760685,SF
250,0.5499026512907877,SF
251,0.8613144840791426,SF
252,0.4600157067606695,SF
253,0.515821449443266,SF
254,0.6655897321957776,SF
255,0.5318694239650072,SF
256,0.8988423152599347,SF
257,0.822996737099337,SF
258,0.440149683803976,SF
259,0.511804986334174,SF
260,0.6682794728493354,SF
261,0.7741330080996827,SF
262,0.515821449443266,SF
263,0.8569524219849048,SF
264,0.8443694239650071,SF
265,0.9430220883534136,SF
266,0.8084404335756262,SF
267,0.6078579509760685,SF
268,0.511804986334174,SF
269,0.7033652042283737,SF
270,0.7685546572168943,SF
271,0.74523459319014,SF
272,0.3958401750702753,SF
273,0.520666583436905,SF
274,0.623540170974025,SF
275,0.9030346227496896,SF
276,0.6898445479250288,SF
277,0.6435531648369203,SF
278,0.903394087533942,SF
279,0.5381979378112962,SF
280,0.830991691094957,SF
281,0.5330041578459618,SF
282,0.4918572325323304,SF
283,0.7602785704349482,SF
284,0.8933413013117506,SF
285,0.5383112794424839,SF
286,0.5928998234524586,SF
287,0.7256432596721983,SF
288,0.573634774990739,SF
289,0.830991691094957,SF
290,0.4670380000387551,SF
291,0.5516065242115539,SF
292,0.6371763624102106,SF
293,0.9300308161067546,SF
294,0.5412949277328069,SF
295,0.6733277748706813,SF
296,0.7389100744166992,SF
324,0.4699540876769324,SF
325,0.7252151335950572,SF
326,0.7772078702738047,SF
327,0.5075353142891498,SF
328,0.4559695779349595,SF
329,0.8676675137413534,SF
330,0.5108360150191666,SF
331,0.4864577631379088,SF
332,0.8284456282114805,SF
333,0.7190653405309457,SF
334,0.5378490029599794,SF
335,0.7663830773066768,SF
336,0.7672212972145794,SF
337,0.5165969695258489,SF
338,0.7931786554785006,SF
339,0.6742204632022148,SF
340,0.7004773528701765,SF
341,0.7655468853662498,SF
342,0.54428533083331,SF
343,0.515821449443266,SF
344,0.6498342287778464,SF
345,0.7075298037311638,SF
346,0.6851145362492407,SF
347,0.8953900709219859,SF
348,0.6833341075177662,SF
349,0.5327650464645511,SF
350,0.7942397666996612,SF
351,0.7496580226825861,SF
352,0.4731657097190653,SF
353,0.6123725465122362,SF
354,0.7594136052572841,SF
355,0.4840122153064471,SF
356,0.8570883036319633,SF
357,0.5255361496495913,SF
358,0.8371071506315103,SF
359,0.7389100744166992,SF
360,0.8095553228479185,SF
361,0.4940856162606714,SF
362,0.6679676787479222,SF
363,0.514542338634135,SF
364,0.517300268976444,SF
365,0.8033446358058205,SF
366,0.546113379671778,SF
367,0.8461988805680573,SF
368,0.7256432596721983,SF
369,0.6073453637232124,SF
370,0.4202093658677904,SF
371,0.665654846850912,SF
372,0.5033317859124732,SF
373,0.4915534343108595,SF
374,0.8343453583130626,SF
375,0.5618493685208357,SF
376,0.8099300810667125,SF
377,0.7389100744166992,SF
405,0.7414953751083585,SF
406,0.6578289043512582,SF
407,0.759139785491045,SF
408,0.5046631422179252,SF
409,0.6634936109824167,SF
410,0.7875744192597524,SF
411,0.4544669563504164,SF
412,0.5537969612987381,SF
413,0.9466666666666668,SF
414,0.6606268235732258,SF
415,0.840237837484945,SF
416,0.7576262541783444,SF
417,0.6260610634014285,SF
418,0.960246285732856,SF
419,0.8033446358058205,SF
420,0.733613379671778,SF
421,0.5663214237683324,SF
422,0.6459450056110759,SF
423,0.5652892457160901,SF
424,0.6938475528507589,SF
425,0.7906777980336891,SF
426,0.5596566170104812,SF
427,0.5117419787388231,SF
428,0.8343453583130626,SF
429,0.4701086956521739,SF
430,0.7499005380238642,SF
431,0.9327075991897988,SF
