,Número da Trajetória,Overlap,Tempo 1,Tempo 2,Tempo 3,ID
114,7,0.0,2019-01-09 19:37:05.955998,2019-01-09 19:37:05.955998,2019-01-09 19:37:20.962997,ID_10
115,8,0.0,2019-01-09 19:38:33.186997,2019-01-09 19:38:32.941997,2019-01-09 19:38:48.193997,ID_10
116,9,0.0,2019-01-09 19:40:01.277004,2019-01-09 19:40:01.277004,2019-01-09 19:40:16.284004,ID_10
117,1,0.25,2019-01-09 19:41:30.252995,2019-01-09 19:41:30.252995,2019-01-09 19:41:45.258999,ID_10
118,2,0.25,2019-01-09 19:42:57.221996,2019-01-09 19:42:57.223002,2019-01-09 19:43:12.228996,ID_10
119,3,0.25,2019-01-09 19:44:20.702000,2019-01-09 19:44:20.702000,2019-01-09 19:44:35.708004,ID_10
120,4,0.25,2019-01-09 19:45:44.168999,2019-01-09 19:45:43.923003,2019-01-09 19:45:59.175003,ID_10
121,5,0.25,2019-01-09 19:47:11.511001,2019-01-09 19:47:11.511001,2019-01-09 19:47:26.516995,ID_10
122,6,0.25,2019-01-09 19:48:39.488003,2019-01-09 19:48:39.243004,2019-01-09 19:48:54.493997,ID_10
123,7,0.25,2019-01-09 19:50:09.970001,2019-01-09 19:50:09.970001,2019-01-09 19:50:24.977001,ID_10
124,8,0.25,2019-01-09 19:51:40.955003,2019-01-09 19:51:40.955003,2019-01-09 19:51:55.960997,ID_10
125,9,0.25,2019-01-09 19:53:07.183997,2019-01-09 19:53:06.938997,2019-01-09 19:53:22.190001,ID_10
126,1,0.5,2019-01-09 19:54:31.287996,2019-01-09 19:54:31.042997,2019-01-09 19:54:46.294000,ID_10
127,2,0.5,2019-01-09 19:55:56.156999,2019-01-09 19:55:56.156999,2019-01-09 19:56:11.163999,ID_10
128,3,0.5,2019-01-09 19:57:21.892995,2019-01-09 19:57:21.892995,2019-01-09 19:57:36.899995,ID_10
129,4,0.5,2019-01-09 19:58:46.380004,2019-01-09 19:58:46.380004,2019-01-09 19:59:01.387004,ID_10
130,5,0.5,2019-01-09 20:00:11.878002,2019-01-09 20:00:11.633002,2019-01-09 20:00:26.885001,ID_10
131,6,0.5,2019-01-09 20:01:36.993000,2019-01-09 20:01:36.993000,2019-01-09 20:01:51.999999,ID_10
132,7,0.5,2019-01-09 20:03:02.742997,2019-01-09 20:03:02.499003,2019-01-09 20:03:17.749997,ID_10
133,8,0.5,2019-01-09 20:04:27.347004,2019-01-09 20:04:27.347004,2019-01-09 20:04:42.354004,ID_10
134,9,0.5,2019-01-09 20:05:50.082997,2019-01-09 20:05:50.082997,2019-01-09 20:06:05.089997,ID_10
135,1,0.0,2019-01-09 19:28:59.772998,2019-01-09 19:28:59.772998,2019-01-09 19:29:14.781004,ID_10
136,2,0.0,2019-01-09 19:30:22.014998,2019-01-09 19:30:22.014998,2019-01-09 19:30:37.021998,ID_10
137,3,0.0,2019-01-09 19:31:48.353999,2019-01-09 19:31:48.108999,2019-01-09 19:32:03.360003,ID_10
138,4,0.0,2019-01-09 19:33:12.065997,2019-01-09 19:33:12.065997,2019-01-09 19:33:27.072997,ID_10
139,5,0.0,2019-01-09 19:34:40.675001,2019-01-09 19:34:40.428996,2019-01-09 19:34:55.680995,ID_10
140,6,0.0,2019-01-09 19:36:06.643002,2019-01-09 19:36:06.643002,2019-01-09 19:36:21.648996,ID_10
141,7,0.0,2019-01-09 19:37:35.607999,2019-01-09 19:37:35.607999,2019-01-09 19:37:50.614003,ID_10
142,8,0.0,2019-01-09 19:39:01.968998,2019-01-09 19:39:01.723998,2019-01-09 19:39:16.975001,ID_10
143,9,0.0,2019-01-09 19:40:30.935001,2019-01-09 19:40:30.935001,2019-01-09 19:40:45.942000,ID_10
144,1,0.25,2019-01-09 19:41:59.908004,2019-01-09 19:41:59.908004,2019-01-09 19:42:14.916000,ID_10
145,2,0.25,2019-01-09 19:43:25.891002,2019-01-09 19:43:25.891002,2019-01-09 19:43:40.898997,ID_10
146,3,0.25,2019-01-09 19:44:48.105996,2019-01-09 19:44:48.105996,2019-01-09 19:45:03.112995,ID_10
147,4,0.25,2019-01-09 19:46:12.201003,2019-01-09 19:46:11.954998,2019-01-09 19:46:27.206997,ID_10
148,5,0.25,2019-01-09 19:47:41.166000,2019-01-09 19:47:41.166000,2019-01-09 19:47:56.173000,ID_10
149,6,0.25,2019-01-09 19:49:08.646998,2019-01-09 19:49:08.403005,2019-01-09 19:49:23.653002,ID_10
