Sorteio,Tempo 1,Tempo 2,ID,Fase,Score total,Score Parcial,Proporção espacial x,Proporção espacial y,Trajetória Completa,Trajetória Simplificada,Acuracia,Media Acuracia,Taxa de Falsos Positivos,Media FPR,Similaridade,Media Similaridade,Desempenho,Desempenho ponderado com proporção,Complexidade,nivel
5,737439.8435623149,737439.8438516667,df_ID_14,Fase Execucao,0.5185185185185185,0.4274584600087955,0.8884615384615384,0.7603068072866731,"[3, 1, 1, 4, 1, 3, 3, 3, 2, 2, 2, 4, 4, 4, 1, 3, 3]","[3, 1, 4, 1, 3, 2, 4, 1, 3]",0.75,0.5347222222222222,1.0,0.4261904761904762,0.8033976357906649,0.7347671814019611,0.5177992119302216,0.4268654750419595,8,Difícil
15,737439.8457859722,737439.8460753356,df_ID_14,Fase Execucao,0.2666666666666666,0.2167463185583991,0.8326923076923077,0.7929050814956855,"[2, 3, 2, 3, 3, 2, 1, 1, 1, 4, 4, 4]","[2, 3, 2, 3, 2, 1, 4]",0.5625,0.5347222222222222,0.0,0.4261904761904762,0.7424621202458749,0.7347671814019611,0.768320706748625,0.6244900674748193,4,Fácil
1,737439.8483926042,737439.8486819561,df_ID_14,Fase Execucao,0.2,0.1583682424957593,0.926923076923077,0.6567593480345159,"[2, 3, 2, 3, 4, 4, 2, 3, 3, 3, 1, 1, 1, 4, 4, 4, 1, 1, 1, 4, 4, 4]","[2, 3, 2, 3, 4, 2, 3, 1, 4, 1, 4]",0.25,0.5347222222222222,0.7142857142857143,0.4261904761904762,0.5868965038233361,0.7347671814019611,0.3742035965125406,0.2963098295764164,4,Fácil
2,737439.8498189005,737439.8501082524,df_ID_14,Fase Execucao,0.3,0.2595072461095951,0.8134615384615385,0.9165867689357622,"[2, 2, 2, 3, 3, 4, 4, 3, 1, 3, 1, 3, 2, 1, 1, 4, 4, 4]","[2, 3, 4, 3, 1, 3, 1, 3, 2, 1, 4]",0.4375,0.5347222222222222,0.2,0.4261904761904762,0.6963575181639445,0.7347671814019611,0.6446191727213149,0.5576111543411795,4,Fácil
4,737439.8516700115,737439.8519593634,df_ID_14,Fase Execucao,0.2857142857142857,0.2831040005057262,0.9807692307692308,1.000958772770853,"[2, 2, 2, 3, 3, 3, 1, 1, 1, 4, 4, 2, 4, 2, 3]","[2, 3, 1, 4, 2, 4, 2, 3]",0.375,0.5347222222222222,0.0,0.4261904761904762,0.8848107182833358,0.7347671814019611,0.7532702394277786,0.7463883638536865,6,Médio
18,737439.852883125,737439.8531724884,df_ID_14,Fase Execucao,0.5476190476190476,0.4842969350879226,0.9307692307692308,0.837967401725791,"[3, 2, 2, 3, 2, 4, 1, 3, 3, 1, 1, 4, 2, 4, 1, 4]","[3, 2, 3, 2, 4, 1, 3, 1, 4, 2, 4, 1, 4]",0.4375,0.5347222222222222,0.0,0.4261904761904762,0.7915847558554998,0.7347671814019611,0.7430282519518333,0.6571106441029742,6,Médio
13,737439.8544726736,737439.8547620254,df_ID_14,Fase Execucao,0.25,0.2166764234088059,0.9826923076923076,0.75071907957814,"[3, 4, 2, 3, 2, 3, 3, 4, 4, 4, 3, 2, 3, 3, 1, 1, 1, 4, 4, 4, 4]","[3, 4, 2, 3, 2, 3, 4, 3, 2, 3, 1, 4]",0.25,0.5347222222222222,0.0,0.4261904761904762,0.7686491108575594,0.7347671814019611,0.6728830369525198,0.5831915592773096,6,Médio
9,737439.8560208102,737439.856310162,df_ID_14,Fase Execucao,0.3888888888888888,0.3713409912235415,0.9576923076923076,0.9520613614573348,"[2, 3, 2, 2, 3, 4, 4, 1, 3, 3, 3, 4, 1, 4, 2, 2, 3, 3, 1, 4, 1, 1, 4, 4]","[2, 3, 2, 3, 4, 1, 3, 4, 1, 4, 2, 3, 1, 4, 1, 4]",0.3125,0.5347222222222222,0.0,0.4261904761904762,0.722465585158996,0.7347671814019611,0.6783218617196654,0.6477138321417736,8,Difícil
10,737439.8575489814,737439.8578383334,df_ID_14,Fase Execucao,0.5555555555555556,0.5217245003318829,0.9903846153846154,0.887823585810163,"[4, 1, 3, 2, 4, 2, 3, 2, 4, 1, 3, 3, 3, 1, 4, 4, 3, 3, 1, 4, 4, 2, 3, 3, 1, 2, 2, 4, 4, 1, 1, 4]","[4, 1, 3, 2, 4, 2, 3, 2, 4, 1, 3, 1, 4, 3, 1, 4, 2, 3, 1, 2, 4, 1, 4]",0.375,0.5347222222222222,0.5,0.4261904761904762,0.5686014032526943,0.7347671814019611,0.4812004677508981,0.4518973324742502,8,Difícil
12,737439.8589666666,737439.8592560301,df_ID_14,Fase Execucao,0.1481481481481481,0.1221309885739415,0.8884615384615384,0.7603068072866731,"[3, 2, 2, 4, 2, 3, 3, 3, 1, 1, 1, 4, 4, 4, 2, 3, 3]","[3, 2, 4, 2, 3, 1, 4, 2, 3]",0.3125,0.5347222222222222,0.3333333333333333,0.4261904761904762,0.7945526216765877,0.7347671814019611,0.5912397627810848,0.4874087028105671,8,Difícil
